Data As Of,Start Date,End Date,Group,Year,Month,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,2107,4209,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,160,286,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,373,566,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,837,1305,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,1890,2846,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,4290,6492,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,6796,10185,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",75-84,8294,12277,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",85+,8026,12258,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",Not stated,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,30667,46217,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,COVID-19,COVID-19,U071,0-24,298,298,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,COVID-19,COVID-19,U071,25-34,903,903,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,COVID-19,COVID-19,U071,35-44,2240,2240,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,COVID-19,COVID-19,U071,45-54,5059,5059,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,COVID-19,COVID-19,U071,55-64,11024,11024,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,COVID-19,COVID-19,U071,65-74,17484,17484,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,COVID-19,COVID-19,U071,75-84,21686,21686,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,COVID-19,COVID-19,U071,85+,21228,21228,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,COVID-19,COVID-19,U071,Not stated,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
4/30/2023,1/1/2020,4/29/2023,By Total,,,Florida,COVID-19,COVID-19,U071,All Ages,79925,79925,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,69,71,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,225,230,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,589,611,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,1452,1503,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,3045,3125,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,4608,4729,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,4636,4729,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,2927,2946,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,17551,17944,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,21,22,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,32,32,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,100,106,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,374,385,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,681,725,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,807,832,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,449,464,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,2473,2575,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,17,17,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,53,53,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,120,120,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,315,315,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,638,638,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,804,804,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,494,494,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,166,166,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,2607,2607,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory failure,J96,0-24,51,52,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory failure,J96,25-34,188,191,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory failure,J96,35-44,512,520,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory failure,J96,45-54,1285,1299,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory failure,J96,55-64,2809,2859,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory failure,J96,65-74,4342,4480,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory failure,J96,75-84,4312,4439,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory failure,J96,85+,2740,2815,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory failure,J96,Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory failure,J96,All Ages,16239,16655,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory arrest,R09.2,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory arrest,R09.2,25-34,10,10,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory arrest,R09.2,35-44,34,34,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory arrest,R09.2,45-54,82,82,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory arrest,R09.2,55-64,138,138,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory arrest,R09.2,65-74,196,196,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory arrest,R09.2,75-84,208,208,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory arrest,R09.2,85+,223,223,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Respiratory arrest,R09.2,All Ages,896,896,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,14,14,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,22,22,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,80,81,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,159,164,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,260,275,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,464,487,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,436,445,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,343,353,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,1778,1841,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,40,40,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,159,165,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,396,417,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,888,920,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,1348,1385,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,1486,1520,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Hypertensive diseases,I10-I15,85+,1263,1299,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,5585,5751,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,32,33,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,108,117,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,324,348,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,587,625,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,716,759,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Ischemic heart disease,I20-I25,85+,577,616,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,2354,2508,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrest,I46,0-24,24,24,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrest,I46,25-34,91,91,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrest,I46,35-44,183,183,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrest,I46,45-54,492,492,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrest,I46,55-64,941,941,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrest,I46,65-74,1359,1360,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrest,I46,75-84,1250,1251,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrest,I46,85+,821,824,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrest,I46,Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrest,I46,All Ages,5161,5166,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,13,13,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,22,22,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,77,80,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,208,212,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,426,435,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,584,594,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,506,513,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,1841,1874,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Heart failure,I50,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Heart failure,I50,25-34,15,15,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Heart failure,I50,35-44,37,37,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Heart failure,I50,45-54,96,96,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Heart failure,I50,55-64,286,286,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Heart failure,I50,65-74,530,530,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Heart failure,I50,75-84,743,745,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Heart failure,I50,85+,757,757,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Heart failure,I50,Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Heart failure,I50,All Ages,2467,2469,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,11,11,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,40,42,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,69,69,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,230,237,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,441,458,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,458,468,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,403,412,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,1657,1702,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,12,12,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,42,48,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,98,106,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,219,241,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,416,443,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,620,659,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,635,689,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,434,466,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,2476,2664,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Sepsis,Sepsis,A40-A41,0-24,23,23,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Sepsis,Sepsis,A40-A41,25-34,74,74,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Sepsis,Sepsis,A40-A41,35-44,172,172,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Sepsis,Sepsis,A40-A41,45-54,487,487,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Sepsis,Sepsis,A40-A41,55-64,1034,1034,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Sepsis,Sepsis,A40-A41,65-74,1427,1428,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Sepsis,Sepsis,A40-A41,75-84,1194,1194,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Sepsis,Sepsis,A40-A41,85+,525,525,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Sepsis,Sepsis,A40-A41,Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Sepsis,Sepsis,A40-A41,All Ages,4936,4937,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,11,11,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,30,31,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,90,113,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,267,309,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,523,613,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,494,562,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,262,299,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,1684,1945,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Diabetes,Diabetes,E10-E14,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Diabetes,Diabetes,E10-E14,25-34,43,44,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Diabetes,Diabetes,E10-E14,35-44,147,147,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Diabetes,Diabetes,E10-E14,45-54,326,329,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Diabetes,Diabetes,E10-E14,55-64,827,831,
4/30/2023,1/1/2020,4/29/2023,By Total,,,Georgia,Diabetes,Diabetes,E10-E14,65-74,1137,1143,
